01_kic,02_period,03_amplitude,04_power,05_peak,06_noiseLev,07_snr,08_Msun,09_Msun_err,10_Rsun,11_Rsun_err,12_logg,13_logg_err,14_teff,15_teff_err
2161536,27.3996649827,0.0013200814,3594.6519091562,1,0.0011713855,2.2538805285,0.562,0.014,0.536,0.01,4.73,0.3,4142,71
2438513,13.2680803925,0.0035081471,6197.859709674,1,0.0004026924,17.4234590293,1.35,0.17,1.97,0.6,3.98,0.3,6286,138
2556650,28.3579448297,0.0015088024,5567.4534101212,1,0.001363303,2.213451227,0.538,0.037,0.515,0.027,4.75,0.3,4003,200
2832589,21.4630721438,0.0026501665,7679.3366091042,1,0.001057689,5.011239418,0.824,0.03,0.72,0.12,4.64,0.3,5214,89
3122913,23.4393282259,0.0021437518,6107.2442479871,1,0.0014898408,2.8778265542,0.756,0.018,0.664,0.02,4.67,0.3,4937,66
3128793,67.154393695,0.0814056802,16728.991143578,1,0.0019050167,85.4645299728,0.663,0.017,0.637,0.016,4.65,0.3,4668,66
3219995,12.8476136015,0.0011026435,5364.2169575643,1,0.000470319,4.6889175483,1.071,0.089,0.98,0.39,4.49,0.3,6106,94
3326377,19.1032580169,0.004015556,6974.3619765783,1,0.0004703666,17.0741533679,0.772,0.049,0.8,0.25,4.52,0.3,5203,73
3354846,19.1369232604,0.0048909983,6754.5285162525,1,0.0012145053,8.0543055174,0.894,0.09,0.82,0.44,4.56,0.3,5540,129
3426367,33.3724601708,0.0011693797,4870.6014734586,1,0.0004834139,4.838006182,0.491,0.032,0.482,0.021,4.76,0.3,3696,200
3444588,36.6705743558,0.0020596575,7394.7450804046,1,0.0012907785,3.191341439,0.611,0.015,0.552,0.013,4.74,0.3,4317,67
3642335,14.3946894706,0.0022321882,12372.1035098812,1,0.0009798323,4.5562658019,0.558,0.012,0.532,0.009,4.73,0.3,4110,61
3642741,12.4176591764,0.0011088391,2656.5075519965,1,0.0005525154,4.0137850819,0.877,0.07,0.86,0.4,4.51,0.3,5545,100
3734418,11.360837449,0.0054225452,17196.3302646264,1,0.0003733554,29.0476301026,0.766,0.063,0.79,0.35,4.53,0.3,5179,79
4035640,18.5214335543,0.0062659178,12490.4322764417,1,0.000634705,19.7443456061,0.78,0.1,0.82,0.48,4.5,0.3,5257,72
4047631,26.6654490354,0.0012176241,5880.5794529498,1,0.0003866947,6.2975991864,0.645,0.014,0.573,0.013,4.73,0.3,4459,60
4049131,23.4393293223,0.0061884087,12728.5847124349,1,0.000764817,16.1827183406,0.704,0.037,0.69,0.2,4.61,0.3,4869,76
4055304,17.9298389015,0.0078648593,10329.7786574579,1,0.0004593423,34.2440014678,0.751,0.05,0.76,0.32,4.55,0.3,5099,79
4056616,14.9437220262,0.001917681,8945.4820704214,1,0.0002168349,17.6879334832,0.59,0.015,0.558,0.012,4.71,0.3,4286,67
4140813,19.2884001436,0.0020691246,5783.1239557984,1,0.0009276563,4.460972308,0.628,0.017,0.573,0.015,4.72,0.3,4421,73
4142847,23.5401441054,0.0022543232,6027.329869178,1,0.0008846405,5.0965857646,0.72,0.023,0.711,0.09,4.59,0.3,4948,66
4144576,26.7960022872,0.0045964804,8300.7095408754,1,0.0003550208,25.8941463797,0.833,0.044,0.73,0.23,4.63,0.3,5253,76
4242147,16.435456449,0.0019126686,7728.9579534797,1,0.0005762284,6.6385786343,0.67,0.015,0.592,0.013,4.72,0.3,4568,60
4243911,31.1413006968,0.0017012724,3833.9064272542,1,0.0005470851,6.2194073155,0.764,0.025,0.75,0.039,4.57,0.3,5119,83
4346178,33.1200219272,0.0108556463,13324.4489427226,1,0.0007126139,30.4671190809,0.79,0.14,0.85,0.65,4.48,0.3,5298,79
4370527,19.6696614073,0.0015150465,3200.2541792274,1,0.000953359,3.1783335015,0.9,0.1,0.8,0.45,4.59,0.3,5506,117
4552729,21.8051134569,0.0050569774,7518.8002841041,1,0.0005269671,19.1927618577,0.67,0.017,0.646,0.017,4.64,0.3,4703,65
4770365,26.6481652618,0.0049167865,7507.575495263,1,0.0017406762,5.6492832893,0.585,0.015,0.556,0.012,4.71,0.3,4265,71
4832837,28.9581134136,0.0017572814,4670.5364330851,1,0.0005008677,7.0169490403,0.641,0.015,0.57,0.012,4.73,0.3,4444,60
4913852,34.260303836,0.0027472298,6347.2487036054,1,0.0009983268,5.5036684788,0.529,0.038,0.509,0.027,4.75,0.3,3935,200
5080636,34.4552286678,0.0041426926,9742.1988718873,1,0.0004806141,17.239164148,0.509,0.034,0.494,0.024,4.76,0.3,3823,200
5088591,7.6015049788,0.0058490664,9917.478429299,1,0.0005044806,23.1884668471,0.8,0.11,0.86,0.6,4.47,0.3,5331,77
5174858,27.9953126047,0.0020708548,5765.8207651307,1,0.0006929934,5.9765493883,0.772,0.048,0.74,0.25,4.59,0.3,5119,90
5175986,10.5694291072,0.0056007291,11552.9142445749,1,0.0009802541,11.4270966838,0.677,0.021,0.653,0.019,4.64,0.3,4735,82
5184911,12.6912080695,0.0067867064,18283.0941311709,1,0.0005667647,23.9489386448,0.674,0.016,0.652,0.016,4.64,0.3,4722,67
5360920,20.0479249392,0.0011425716,2858.8710737204,1,0.0008746311,2.6126938889,0.97,0.058,0.86,0.3,4.55,0.3,5782,93
